,Unnamed: 0.1,Unnamed: 0,GalaxyID,n_r,pa_r,q_r,re_r,mag_r,flag_r,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate,xc_centroid,yc_centroid,ellipticity_centroid,elongation_centroid,orientation_centroid,xc_asymmetry,yc_asymmetry,ellipticity_asymmetry,elongation_asymmetry,orientation_asymmetry,flux_circ,flux_ellip,rpetro_circ,rpetro_ellip,rmax_circ,rmax_ellip,rhalf_circ,rhalf_ellip,r20,r80,gini,m20,gini_m20_bulge,sn_per_pixel,concentration,asymmetry,smoothness,multimode,intensity,deviation,outer_asymmetry,shape_asymmetry,sersic_amplitude,sersic_rhalf,sersic_n,sersic_xc,sersic_yc,sersic_ellip,sersic_theta,sky_mean,sky_median,sky_sigma,xmin_stamp,ymin_stamp,xmax_stamp,ymax_stamp,nx_stamp,ny_stamp,flag,flag_sersic,DiscToTotal
596,596,602.0,8479314.0,1.8219,43.2815,0.5758,3.506,18.9227,0.0,12184809500.0,11793922000.0,610836350000.0,14536665.0,2159801.5,6.959728,0.41513097,167.01251982238895,168.21600644835647,0.1058521558513302,1.118383281404781,-0.5577211287260427,167.36436573204105,168.09737680077598,0.1059555780212645,1.1185126548709508,-0.5574276291734634,0.1631299697832383,0.1633513281280642,26.88846424492192,28.479770544655885,108.40376736400826,109.01809398426283,12.999918902245986,13.684791267068531,4.749169159343643,21.29470509524533,0.5534069908753513,-1.9446686443361152,0.1270199753579168,0.0675462640161054,3.258269955745201,0.1098087910684815,0.0240760423725753,0.0035637918745545,0.0053012942115904,0.0286875834264098,0.2237773992764142,0.2679391772017803,6.685700919766825e-05,13.313106570608328,1.7803620762233106,167.40610522874044,168.16366987716629,0.0753049546885794,2.342910143671837,1.14488676427571e-09,1.2504577104472203e-09,6.303371404686615e-08,0.0,0.0,328.0,330.0,329.0,331.0,0.0,0.0,0.2458217823022953
597,597,603.0,8480956.0,1.2075,-63.8015,0.4183,6.555,18.189,0.0,13755514900.0,17288228900.0,509164421000.0,16309974.0,1553793.4,5.233788,1.7716047,167.29161354187315,168.68760716259618,0.1594619502938433,1.189714136498151,-1.308739372011387,167.37048334363078,167.910551307332,0.1597452414440456,1.1901152475691787,-1.3091258301574902,0.3068761848293092,0.3081603717040894,51.812293564876654,58.34252550955774,152.43112643227235,171.82215523601425,23.536428681166186,25.93474154356423,10.035985890701072,41.676103742760695,0.5604265403513741,-1.7080009235242286,-0.0022439852584077,0.0475922396122337,3.0916353417579407,0.2763255450677148,0.0290171056620667,0.0172596919808815,0.9310717619974178,0.1342063750568611,0.3795511451936956,0.1633019839966309,4.923466738663563e-05,24.09596360239001,1.0259401958057652,166.36352829382145,168.67235845054086,0.2526632847051427,2.5839567281592424,7.689263951149193e-09,7.085253698812379e-09,1.1020434526064365e-07,0.0,0.0,334.0,335.0,335.0,336.0,0.0,0.0,0.6013154221702692
598,598,604.0,8482146.0,3.0466,42.202,0.3234,17.254,17.4284,0.0,19328557100.0,37916791000.0,726983050000.0,18156448.0,1987128.5,4.8232636,2.2109287,165.88703306053128,164.89521644388532,0.0504439349266092,1.0531237035726906,0.9535694346272248,167.7359896560879,167.69173804691263,0.0528844827057438,1.0558374155423254,0.9552193023507892,0.4828805520178909,0.4828805520178909,123.92347030779128,127.28450331284888,169.30097275448108,178.24477710049254,42.207243659584,43.353983939165495,13.4908400201942,91.21156775666266,0.5722031069753264,-2.332325305306199,0.4887068161050614,0.0263245108167767,4.150054641116362,0.2923125040243889,0.0778601402981177,0.1402270483711747,0.0873735034111269,0.0284458690746585,0.4100221924781584,0.0140632472325872,3.300161349756221e-05,28.7874648554456,1.2530368909940497,168.01059933130855,167.54709180649624,0.03722700747902,0.4492078014120945,-1.3305178509577143e-09,-1.2545942260715035e-09,1.7132140395260929e-07,0.0,0.0,335.0,335.0,336.0,336.0,0.0,0.0,0.5434922199413066
599,599,605.0,8483646.0,2.1301,39.3536,0.5617,7.403,17.7524,0.0,21055758300.0,15650215900.0,684635060000.0,37699272.0,17637718.0,5.857902,1.3746418,168.44242886035187,166.58925184243674,0.034690527058621,1.035937207735998,-1.1301194147999123,167.71553222950752,167.4463316001598,0.0352214544371074,1.036507294445025,-1.1254989283453196,0.4351630051586362,0.4349244200127473,57.7353913530985,58.68258948478744,167.69887018722054,173.15484698121708,24.7099757047902,25.13580015165629,7.690338542512395,47.97857289092324,0.5732562932082802,-2.2808680520826643,0.4582602114742728,0.0499288637736078,3.97550933606104,0.1892430519832306,0.032460877210915,0.0392006149116064,0.0296577476416469,0.0205174560172604,0.3715858826480904,0.0895721205932458,6.384290979074687e-05,21.072561017581304,1.6215093268866263,167.7563651021369,167.29445111412485,0.0933771354616421,2.340286117606307,-9.105498337667312e-11,-2.95872083266927e-09,1.5858460413366376e-07,0.0,0.0,335.0,335.0,336.0,336.0,0.0,0.0,0.4493804969315975
600,600,606.0,8485275.0,0.5541,15.8504,0.4027,4.772,18.233,0.0,21332412400.0,7988453400.0,268484919000.0,11983992.0,6066339.5,5.5741334,2.0889425,167.03753573124544,166.30521544934945,0.0786223640798288,1.0853313136923597,0.9150370900233112,167.30722519651664,166.62339286257173,0.0789017983648729,1.08566057150563,0.9148470255069,0.4909315379863408,0.490760069307865,31.45243303201468,32.55645102024969,121.46412109926148,123.9597783279905,15.695016773096311,16.29871732859812,8.300575640199922,24.63631028214103,0.4577786322438037,-1.5192023807351198,-0.641188520543734,0.1089231166747742,2.362337268405206,0.2416332346271863,0.0162860351558691,0.0031659882406151,0.2833020994235286,0.2146232103491285,0.250650490216525,0.3716239260780821,0.0001834626661056,15.86790783192361,0.7999510752416629,167.68344233389254,166.88484901207437,0.0632785041659781,1.408929203651018,-6.624444948148497e-09,-6.334506912544529e-09,1.818309377895149e-07,7.0,11.0,300.0,304.0,294.0,294.0,0.0,0.0,0.737684016233854
601,601,607.0,8487359.0,1.067,-83.5832,0.3402,11.962,17.9012,0.0,23840069600.0,51060015000.0,994033140000.0,21788280.0,8517348.0,6.0744734,1.5685704,169.04589575229193,164.95683383175205,0.094867557286555,1.104810691573663,-0.1718015454721559,168.67409754773152,168.6303930707963,0.0909439813031124,1.1000422189971073,-0.1841347701500419,0.4983304302963847,0.4983318226824257,109.41949380739072,112.0745604816318,151.72723886897683,158.56862609374016,36.96165404960372,38.78374611658122,12.310968398324825,77.44431604072044,0.5706203081134451,-2.235221930861873,0.4135793232488316,0.0310643518300459,3.993486660475309,0.2606591778495065,0.0518625324744508,0.04551737286116,0.0474047408599085,0.0492196790052678,0.3954053291725433,0.0578963644210137,3.928656666940312e-05,27.95256602540764,1.2130455893616727,168.8826964240025,168.1433584567666,0.0204564494703638,0.1565385844782957,3.119242487195678e-09,3.4068703915325313e-09,1.7173527122144173e-07,0.0,0.0,335.0,335.0,336.0,336.0,0.0,0.0,0.6201200255447703
602,602,608.0,8489085.0,1.6754,-80.765,0.675,3.951,18.3212,0.0,25233360900.0,1838790270.0,907010380000.0,60238444.0,47478132.0,9.465131,0.11452646,168.6969781595565,167.1727063361104,0.2821313504434777,1.393012496948808,0.145429353602157,167.784345192498,167.2620580792717,0.2824212520886839,1.3935752736695983,0.144960924942879,0.2079949994376556,0.2098666535352377,28.41143542774365,34.6706300735876,129.83369853668066,138.91737136539524,15.550666639884632,18.37269281693542,5.943510690446224,23.2061886499352,0.5242623210328549,-1.85525530097563,-0.0792095873112566,0.0714090003087369,2.957803851161773,0.0921770186699853,0.0015576475587469,0.0,0.0,0.0431490692585402,0.0995154133114352,0.0821901724085468,6.1014831591576005e-05,15.975597769267994,1.7140914272071108,167.67395138766244,167.3127337758958,0.0696219629706704,3.071196167586024,-4.9360250845892265e-11,-1.6039012590818536e-09,8.59675720103373e-08,0.0,0.0,335.0,335.0,336.0,336.0,0.0,0.0,0.4775280995169182
603,603,609.0,8493458.0,1.3685,-31.9144,0.4835,4.256,18.5598,0.0,14634982400.0,536248768.0,229258772000.0,5436170.0,842354.4,6.603481,0.3495747,166.3224264998209,168.99973315861266,0.0127827084323023,1.0129482217759815,1.3224454504749266,167.0852649288566,168.58622407250311,0.0119186757189395,1.0120624440782866,1.3421472303287056,0.1894289066554403,0.189428535511196,39.55353904359803,39.79643413973754,108.04974586182789,109.0620652968938,16.839800488622043,16.93837979792699,7.122803148773303,31.17897425646684,0.5419823688871628,-1.943079194358044,0.0693666076815802,0.0504998505881979,3.206054407028969,0.1384667116939045,0.0023983838465205,0.0,0.0,0.0302296957663794,0.1621648884825581,0.1178790848222706,5.207908009098808e-05,15.876428878082748,1.222471476011575,166.93756941608555,168.8378480087719,-0.0783737566448805,0.1996572805502268,1.604825377311393e-09,3.6199245391226414e-09,6.760401588708073e-08,18.0,24.0,311.0,317.0,294.0,294.0,0.0,0.0,0.7454095024236457
604,604,610.0,8494197.0,0.9737,-84.4528,0.8632,2.962,18.327,0.0,16913553400.0,21162571800.0,755864630000.0,27977426.0,16906028.0,6.857824,0.41650772,167.42089137150242,167.36793283238464,0.0333173868760221,1.034465693727905,0.8327290614521713,166.81320901173098,167.45812791579073,0.0329155204214809,1.0340358273931003,0.8183841135897976,0.2336927809931291,0.233743703273059,25.827783232002755,26.32484250513832,84.50644723000856,84.56952754130343,11.860966681560331,12.061576152193858,5.939335355748552,20.363010524172697,0.5006555948787945,-1.648498514493659,-0.3393453348058615,0.0885379274888283,2.675520689773678,0.1915828827184239,0.0287923942226872,0.0,0.0,0.0997556383895891,0.1725087342082232,0.1727933534885246,0.0001307841222663,11.806883858599122,0.9951001423754806,166.6604889743635,167.11088322341965,-0.0473778632403222,0.8435832161511738,2.7967629590027266e-08,2.9010227098616273e-08,8.454660167945558e-08,43.0,37.0,292.0,286.0,250.0,250.0,0.0,0.0,0.3199035913645848
605,605,611.0,8496656.0,2.7986,-66.0712,0.4584,16.599,17.8561,0.0,15365216300.0,41653555000.0,662714520000.0,38188468.0,3726046.0,6.3422446,1.1225644,167.29702631685635,168.52463750683074,0.1123283116692996,1.1265426318603642,-0.6500481595097373,167.27539335362303,167.7063505565945,0.1122706950183666,1.1264695154123467,-0.6506352037924197,0.2988515960697205,0.2988515960697204,127.26252932053605,135.29932726361486,169.309052587357,188.42221391545704,50.06674478898545,53.14153515109815,14.116255551932497,93.84866207906845,0.5383519335151624,-2.4896109703377496,0.4301424733441141,0.0207164731487295,4.113542868378745,0.3231974857877037,0.0818367027794102,0.1698747326611671,0.0752135903285673,0.0096939500537141,0.4936654004979482,0.0105596761935332,1.7624163752936605e-05,27.52619388495284,1.2941318330706648,167.76907380855116,167.47434388894064,-0.0706108917600072,2.403880841641548,1.8705660201721852e-09,2.0430524448456182e-09,1.0298723620576617e-07,0.0,0.0,335.0,335.0,336.0,336.0,0.0,0.0,0.5614309044653922
606,606,612.0,8497741.0,3.4087,6.4599,0.7245,15.669,17.5166,0.0,13608599600.0,38556000000.0,749669450000.0,20077594.0,1848805.4,5.619977,1.7176065,167.55086756476055,164.90655762039248,0.0837711094957716,1.0914303296523098,0.966299132741436,167.39543106458467,167.76484503365552,0.0841767640553123,1.091913767582543,0.9800431894449124,0.3784568458350123,0.3784489951934959,105.31099669717877,109.73109989371537,168.17867270318158,171.15142698646747,42.963814263981135,44.84268911569919,13.393892990829617,78.37934530589266,0.5593150204776546,-2.3165890761983787,0.4140055811698664,0.027647684853122,3.836474033406239,0.3906024669681504,0.0814557287960262,0.2185832120329937,0.1030552509189162,0.0344160575552431,0.535030884621197,0.036820078894931,2.862692767694867e-05,26.713824773074744,1.301425496765762,167.0193561737934,167.9381218143588,0.0536845235794171,0.8985155064083366,-7.795596925392201e-11,-2.5330843157519287e-09,1.357708943051254e-07,0.0,0.0,335.0,335.0,336.0,336.0,0.0,0.0,0.5222358606529396
608,608,614.0,8500519.0,1.4822,63.5492,0.515,5.721,17.617,0.0,19924666400.0,127086117000.0,1494947070000.0,21907080.0,7403810.5,4.219719,2.874978,166.91821252847214,168.41616516129432,0.1440465341272515,1.168287809875714,0.8405288887469203,167.57828800551036,166.37332442677575,0.1418363777887407,1.1652789446181209,0.8518696723707403,0.5232660762146981,0.5228080227741156,41.93129079174096,44.5804922715904,138.5728087385997,160.9132638842009,20.12038416670524,21.709930315004133,7.813398595077252,34.15706000471143,0.5208280894583848,-1.9059592386583435,-0.0610712047907631,0.0797683172941688,3.203202512799378,0.2196070805256998,0.0238459953991984,0.02275,0.0389803561035722,0.0170905569443908,0.3584387611109168,0.1436806491702415,0.0001028254302089,19.82621287226844,1.4084920556199083,167.7413392042363,166.84653943442663,0.1012267714743711,0.8690560772142396,-1.7813453776066215e-09,-5.247144025555762e-09,1.9363101943691885e-07,0.0,5.0,330.0,335.0,331.0,331.0,0.0,0.0,0.2367702316250182
609,609,615.0,8503366.0,1.1369,-6.4782,0.2815,10.658,17.7667,0.0,26065532900.0,6578917400.0,395693621000.0,20034556.0,6362127.0,6.132572,1.7271369,167.59470442085626,169.83076637351246,0.0438383447814154,1.0458482564555402,0.4847245856408149,167.15044745076364,167.18242978018523,0.0429105491288108,1.0448344186530858,0.5237804571675807,0.5290647580979055,0.5290724877351743,78.47625748089594,80.50544469305433,148.6744229704539,154.4864691594286,33.03830027720906,33.772977460308134,14.13406011253572,60.62846511535207,0.5021708518664755,-1.9369301948761708,-0.1319616582117602,0.0448440215434989,3.162048198115115,0.2356262938637973,0.0322296514484818,0.0504497457958545,0.057432008947813,0.0325538727170536,0.3228283397591452,0.1175458426235605,4.603278187838251e-05,30.98476350396571,0.8456385582955052,168.32668017022036,167.66305659157806,0.0579105357093935,0.6940677773189814,-1.5191382880716347e-08,-1.6990371197506002e-08,1.9099191891705741e-07,0.0,0.0,335.0,335.0,336.0,336.0,0.0,0.0,0.7433470131321969
610,610,616.0,8505438.0,0.7962,57.9422,0.678,6.773,17.2517,0.0,26992447500.0,9295598600.0,301244482000.0,21799650.0,6472412.5,4.7178917,1.7885103,168.85430152174217,167.2512953035401,0.0631279968663202,1.0673816664978435,0.9955016953438643,168.63200252116985,167.24288344001508,0.0631120594785205,1.067363509283076,0.9951975480046754,0.6687255384296876,0.6682854847806388,49.62732701394474,50.83361028018918,140.85860468153265,143.48473175172794,25.792553778103457,26.613984359670955,12.721158882182474,39.42686363816527,0.4278703094411714,-1.6577466952212596,-0.6932235084778684,0.0819013291642281,2.456327770011572,0.1981899167132887,0.0254227986080839,0.0373831775700934,0.1152159566920481,0.0298376838057955,0.2152173447836358,0.1015210784187276,9.709083320614868e-05,25.488539975459965,0.8297082868931344,168.73285533040254,166.8619328898233,0.0825677276259716,1.239667431668528,7.058259391155094e-09,5.193525166478361e-09,2.390667877750763e-07,3.0,0.0,335.0,332.0,333.0,333.0,0.0,0.0,0.7683096075330116
611,611,617.0,8506884.0,1.0705,86.3746,0.8899,2.687,18.6988,0.0,12868971500.0,351300320.0,169353069000.0,10848566.0,6724194.0,6.4769835,0.25465268,166.3660169018991,167.8154802168532,0.0361885327876607,1.0375473150286645,0.8231543581885148,166.84927824395265,167.8823413670577,0.0362592558649529,1.0376234543217278,0.8173286287040926,0.1544966568432828,0.1544741923716967,22.195381306053783,22.601080487222102,75.53694149189641,76.16975991192606,11.185147737525414,11.37673958432599,5.630081464955325,17.826075483024873,0.4905859192417134,-1.4842230637415057,-0.5030331165806552,0.082835376783369,2.502705311080531,0.1198170138828494,0.0092374699716146,0.0,0.5392375646631753,0.1735611307396919,0.1227658113964365,0.1547223127227677,7.743107978131614e-05,12.471050875429489,1.261757300586522,166.37922402597044,167.77012607767875,0.0437825036724339,0.4652347405396457,1.0608050449508863e-09,2.6070292959965644e-10,5.90579826175007e-08,13.0,17.0,312.0,316.0,300.0,300.0,0.0,0.0,0.645992620586802
612,612,618.0,8508011.0,1.8473,37.1027,0.9426,7.126,16.9015,0.0,43410588000.0,17842102300.0,639795460000.0,46010804.0,29850224.0,5.7945337,2.5635884,167.26715455516268,167.41453740347302,0.0070155037434893,1.007065068759822,-0.773105419556857,166.8745806491636,167.3046333708309,0.0069658268676666,1.007014689983623,-0.7668959760882764,0.8091669781029479,0.8091773386801538,68.03331918902212,68.37448823215071,148.96900420492304,150.01136959903133,25.75013306574322,25.84281557912418,10.620862729342136,53.59018369150912,0.5554382953533087,-2.099988649846764,0.2447116963426854,0.0607509159295101,3.5146272494913804,0.20484787680407,0.0249167208003322,0.0294346674972745,0.1931424949670123,0.0079166221265648,0.2707521883935829,0.059688766998979,9.86644258930804e-05,24.30837660930195,1.2692380282197315,166.71083251652826,167.47772407476458,0.0475359161312188,1.3446388245945051,5.070992394520896e-09,5.5385927562534185e-09,2.791922262567853e-07,0.0,0.0,335.0,335.0,336.0,336.0,0.0,0.0,0.4151524663225816
