# Results of Galfit fitting to the mock r-band images of EAGLE galaxies at z=0.1
#
# COLUMN 1	[-]	Unique galaxy ID
# COLUMN 2	[mag]	best-fit integrated AB magnitude from Galfit
# COLUMN 3	[mag]	uncertainty on the best-fit integrated AB magnitude from Galfit
# COLUMN 4	[kpc]	best-fit semi-major axis from Galfit
# COLUMN 5	[kpc]	uncertainty on the best-fit semi-major axis from Galfit
# COLUMN 6	[-]	best-fit Sersic index from Galfit
# COLUMN 7	[-]	uncertainty on the best-fit Sersic index from Galfit
# COLUMN 8	[-]	best-fit axis ratio from Galfit
# COLUMN 9	[-]	uncertainty on the best-fit axis ratio from Galfit
# COLUMN 10	[deg]	best-fit position angle from Galfit 
# COLUMN 11	[deg]	uncertainty on the best-fit position angle from Galfit
# COLUMN 12	[-]	quality flag (see description in Section 3.2.3)
#
GalaxyID,galfit_mag,galfit_dmag,galfit_re,galfit_dre,galfit_n,galfit_dn,galfit_q,galfit_dq,galfit_PA,galfit_dPA,flag
223470,18.5074,0.02,2.107,0.053,1.887,0.16,0.6503,0.02,2.0135,2.27,0
234331,18.2551,0.02,7.965,0.181,0.6816,0.04,0.3901,0.01,-1.1318,0.78,0
241396,18.6997,0.03,3.149,0.121,1.7036,0.14,0.5504,0.02,81.5691,1.85,0
244671,18.6047,0.03,3.282,0.143,1.6143,0.11,0.914,0.03,29.5484,12.25,0
246135,19.0047,0.03,2.192,0.09,1.7233,0.2,0.9554,0.04,-85.1723,31.85,0
246800,18.7905,0.02,4.132,0.151,1.0349,0.07,0.5802,0.02,53.5347,2.02,0
247998,18.4852,0.03,3.546,0.173,1.9637,0.14,0.7883,0.02,68.4526,4.5,0
576778,19.0537,0.03,3.38,0.143,1.1805,0.1,0.5833,0.02,-80.5984,2.52,0
578842,18.7504,0.02,4.492,0.158,1.0429,0.07,0.4904,0.01,0.5287,1.48,0
584356,17.8505,0.01,4.356,0.068,0.9428,0.03,0.5926,0.01,-89.0751,0.94,0
592033,18.6266,0.03,3.137,0.128,2.054,0.17,0.4866,0.02,74.5457,1.51,0
608838,17.9914,0.02,4.463,0.113,1.4302,0.05,0.6609,0.01,7.797,1.59,0
611456,17.1788,0.01,9.075,0.121,0.9626,0.02,0.4565,0.0,36.0861,0.48,0
615891,18.7438,0.02,5.27,0.181,0.8948,0.06,0.4958,0.01,-81.6946,1.51,0
629180,17.6798,0.01,7.26,0.151,1.0269,0.03,0.6488,0.01,33.9183,1.37,0
636523,18.7423,0.03,2.221,0.083,2.1693,0.23,0.7877,0.03,56.6919,5.21,0
641392,17.7258,0.01,4.486,0.06,0.9425,0.03,0.4709,0.01,-67.4416,0.56,0
653641,17.3515,0.01,6.72,0.106,1.1172,0.02,0.6591,0.01,72.5819,1.06,0
962987,17.7597,0.02,3.181,0.09,2.4333,0.11,0.864,0.02,-24.1832,4.2,0
965536,18.6498,0.03,4.16,0.211,1.8945,0.14,0.4655,0.02,21.5118,1.47,0
966292,18.2831,0.01,2.253,0.03,1.1839,0.07,0.8076,0.02,34.8263,3.19,0
970456,18.6364,0.03,3.941,0.158,1.277,0.07,0.7998,0.02,42.9682,4.92,0
981981,17.5433,0.02,6.484,0.166,1.6115,0.05,0.6682,0.01,77.713,1.38,0
993698,18.1231,0.02,3.638,0.121,1.778,0.08,0.8588,0.02,-18.2398,5.11,0
1008743,17.6344,0.02,10.211,0.264,1.3379,0.04,0.3213,0.0,-49.1226,0.47,0
1012225,18.518,0.03,3.405,0.128,1.471,0.08,0.833,0.02,10.9466,5.39,0
1017877,18.418,0.02,2.219,0.083,2.7493,0.25,0.7058,0.02,-19.3189,2.95,0
1021936,18.1749,0.02,4.309,0.121,1.2121,0.05,0.7889,0.02,22.4655,3.19,0
1022650,18.5166,0.03,4.355,0.219,1.7774,0.12,0.6832,0.02,1.0279,2.89,0
1028772,18.814,0.02,1.904,0.06,1.7254,0.19,0.7614,0.03,64.9716,4.47,0
1032412,18.6136,0.02,2.952,0.098,1.357,0.08,0.8643,0.02,-79.1937,6.9,0
1039437,18.5093,0.04,6.889,0.4,1.8197,0.13,0.3711,0.01,68.897,1.1,0
1049778,18.1992,0.01,1.982,0.045,2.3563,0.17,0.487,0.02,32.9997,1.15,0
1053070,18.6962,0.04,3.846,0.211,1.6641,0.12,0.8283,0.03,66.9583,6.68,0
1355480,18.3388,0.03,6.095,0.234,1.1348,0.05,0.7349,0.02,39.7805,3.3,0
1363926,18.4377,0.02,4.775,0.166,1.2319,0.06,0.6091,0.02,35.2478,1.89,0
1375834,17.7464,0.01,6.579,0.113,0.8404,0.03,0.5927,0.01,3.6152,1.02,0
1376784,18.4785,0.04,5.228,0.286,1.6109,0.1,0.8195,0.03,-87.1334,6.01,0
1383229,17.8733,0.02,6.821,0.211,1.2731,0.04,0.7755,0.01,86.8458,3.0,0
1385469,18.7365,0.02,2.344,0.068,2.0121,0.21,0.4674,0.02,-52.2906,1.57,0
1390573,18.2545,0.02,3.254,0.113,1.7738,0.09,0.8894,0.02,61.0758,7.13,0
1393940,17.9516,0.01,3.623,0.068,1.2521,0.04,0.6164,0.01,-54.5686,1.15,0
1399923,18.1173,0.02,2.935,0.075,1.9336,0.11,0.5937,0.01,-75.3252,1.37,0
1403093,18.1189,0.01,4.777,0.068,0.579,0.03,0.5155,0.01,71.0031,0.8,0
1406432,18.1212,0.03,4.567,0.181,1.6949,0.08,0.9983,0.02,-23.4827,501.23,0
1407376,18.3435,0.04,7.007,0.369,1.3993,0.08,0.7875,0.02,70.5327,5.05,0
1416533,18.1623,0.01,2.971,0.045,0.8693,0.04,0.8102,0.01,-23.7747,2.77,0
1419939,18.2063,0.02,4.112,0.143,1.7256,0.08,0.6917,0.02,-81.4416,2.23,0
1422232,18.9895,0.03,3.847,0.143,0.9454,0.07,0.5631,0.02,40.1369,2.14,0
1427448,18.1525,0.01,10.085,0.173,0.4975,0.03,0.2431,0.0,80.4672,0.39,0
1699531,18.478,0.01,2.484,0.045,1.3469,0.1,0.5362,0.01,34.6387,1.34,0
1703010,17.7248,0.02,4.574,0.106,1.3634,0.04,0.9107,0.01,-17.8767,6.1,0
1704972,18.4137,0.02,4.866,0.113,0.9091,0.05,0.4309,0.01,-75.5648,0.89,0
1718561,17.9467,0.01,2.933,0.045,0.9725,0.03,0.9046,0.01,-87.7203,5.11,0
1732243,17.923,0.02,6.986,0.158,0.8683,0.03,0.6415,0.01,55.8666,1.54,0
1734712,18.642,0.01,2.693,0.053,0.9599,0.06,0.6229,0.02,66.7005,1.81,0
1738146,18.5587,0.01,2.383,0.038,1.1785,0.09,0.5851,0.02,55.6429,1.6,0
1740037,18.527,0.02,3.621,0.09,0.8544,0.05,0.774,0.02,83.3717,3.31,0
1745906,17.4446,0.01,6.905,0.136,1.443,0.03,0.4837,0.01,-21.4499,0.63,0
1749435,18.8044,0.02,3.991,0.143,1.0741,0.07,0.5219,0.02,-1.6348,1.66,0
1760771,18.7847,0.03,4.483,0.173,0.9115,0.06,0.8585,0.02,-11.1913,8.08,0
1774857,19.0867,0.03,3.454,0.151,0.9899,0.08,0.7269,0.03,-66.5432,4.34,0
1776127,18.8941,0.03,4.55,0.173,0.913,0.06,0.5518,0.02,-79.021,2.0,0
1784464,18.6516,0.03,2.957,0.106,1.4787,0.1,0.7826,0.02,28.2608,4.3,0
1784921,18.7977,0.03,4.818,0.196,0.9846,0.07,0.65,0.02,-66.541,2.81,0
2044166,18.3399,0.03,6.796,0.271,1.1459,0.06,0.6731,0.02,52.9561,2.66,0
2045967,18.7812,0.03,3.364,0.136,1.1954,0.07,0.8903,0.03,-6.1541,10.09,0
2047699,17.7883,0.0,2.327,0.023,1.1941,0.05,0.3676,0.01,18.9595,0.48,0
2062484,18.6154,0.02,5.228,0.143,0.7713,0.05,0.4605,0.01,38.7802,1.14,0
2065457,17.8112,0.01,1.045,0.023,3.0053,0.21,0.8324,0.02,39.7989,4.0,0
2075221,18.0603,0.03,7.16,0.279,1.3174,0.05,0.8052,0.02,56.5121,4.38,0
2082099,18.6723,0.02,3.897,0.098,0.8018,0.05,0.5779,0.01,46.093,1.63,0
2112127,18.5881,0.02,3.027,0.09,1.322,0.08,0.682,0.02,57.347,2.47,0
2116222,17.5278,0.02,9.59,0.279,1.471,0.04,0.5295,0.01,-72.2315,0.97,0
2120454,17.5771,0.03,11.355,0.452,1.8103,0.07,0.4366,0.01,-73.9805,0.82,0
2292113,17.7528,0.01,5.096,0.068,0.6669,0.02,0.7402,0.01,46.675,1.58,0
2293314,17.8693,0.03,6.021,0.264,1.997,0.09,0.8927,0.02,-55.3536,7.15,0
2297047,18.5675,0.01,2.991,0.053,0.9136,0.05,0.4668,0.01,-34.0119,1.03,0
2304937,18.6382,0.01,2.96,0.053,0.7276,0.05,0.4616,0.01,-1.6369,1.0,0
2318347,18.4105,0.01,3.545,0.075,0.858,0.04,0.7022,0.01,-62.3324,2.09,0
2327517,18.675,0.02,2.661,0.075,1.1552,0.07,0.7973,0.02,-57.751,4.28,0
2331971,18.2995,0.01,4.226,0.06,0.5214,0.03,0.4653,0.01,-61.9956,0.73,0
2334226,17.9521,0.02,4.457,0.151,1.7141,0.07,0.9783,0.02,75.1597,33.71,0
2335941,18.6341,0.04,4.345,0.234,1.5184,0.1,0.9502,0.03,66.5635,24.96,0
2339507,18.6468,0.03,4.983,0.188,1.2769,0.07,0.4172,0.01,78.8325,1.16,0
2340104,18.3694,0.02,6.091,0.211,1.1721,0.05,0.4927,0.01,68.8075,1.27,0
2355102,18.0202,0.02,4.974,0.128,1.2606,0.04,0.716,0.01,44.2938,2.09,0
2363904,17.3391,0.01,6.843,0.128,1.2049,0.03,0.7704,0.01,-64.6158,1.82,0
2389393,16.8889,0.01,14.454,0.219,0.8977,0.02,0.4789,0.0,82.9711,0.57,0
2393675,18.7147,0.02,3.802,0.113,0.9241,0.06,0.646,0.02,-28.1814,2.26,0
2412731,18.235,0.03,5.33,0.241,1.8539,0.1,0.6113,0.02,-13.036,1.86,0
2421203,18.0505,0.02,8.232,0.219,1.0354,0.04,0.3908,0.01,-49.2825,0.74,0
2424089,17.8725,0.02,8.812,0.294,1.1913,0.04,0.6416,0.01,36.3043,1.86,0
2425267,18.1334,0.01,5.037,0.113,0.9447,0.04,0.6313,0.01,72.763,1.47,0
2430739,18.3989,0.02,2.354,0.053,1.7046,0.12,0.7407,0.02,-74.0728,2.85,0
2436608,18.4722,0.01,2.711,0.053,1.202,0.07,0.5619,0.01,10.9808,1.39,0
2442015,17.7149,0.03,11.273,0.415,1.3131,0.05,0.5536,0.01,-31.024,1.4,0
2446634,17.567,0.01,8.173,0.173,1.0544,0.03,0.6169,0.01,6.1231,1.19,0
2456279,17.8787,0.01,4.589,0.09,1.0383,0.03,0.7543,0.01,-18.6322,2.01,0
2458050,18.6481,0.03,8.344,0.347,0.8781,0.06,0.3874,0.01,-27.1549,1.2,0
2460841,18.7995,0.02,5.982,0.173,0.6391,0.05,0.389,0.01,-76.5357,1.03,0
2486315,17.9795,0.01,3.744,0.068,0.9599,0.03,0.9169,0.01,-2.6122,6.68,0
2490438,18.2907,0.02,4.054,0.128,1.4092,0.06,0.6645,0.02,65.5614,1.98,0
2491995,16.8104,0.02,10.01,0.332,2.6271,0.07,0.8345,0.01,71.9739,2.52,0
2506302,18.7929,0.04,4.184,0.226,1.5424,0.12,0.6552,0.02,83.7569,3.07,0
2513876,18.1152,0.02,3.392,0.106,1.777,0.08,0.9185,0.02,-65.8959,8.87,0
2531700,18.5879,0.04,5.932,0.347,1.9296,0.14,0.3623,0.01,67.0625,1.1,0
2533443,17.9229,0.03,5.339,0.226,1.9517,0.09,0.9855,0.02,74.9983,55.92,0
2536262,18.2739,0.01,3.873,0.06,0.6821,0.03,0.5038,0.01,86.4725,0.85,0
2559053,18.7319,0.03,3.156,0.113,1.2644,0.08,0.8059,0.02,7.8945,5.05,0
2564494,18.3425,0.01,5.667,0.113,0.6405,0.03,0.4667,0.01,26.7884,0.9,0
2566863,18.1714,0.02,10.077,0.256,0.7524,0.04,0.307,0.01,71.8309,0.6,0
2570871,17.9038,0.02,5.457,0.143,1.1776,0.04,0.8551,0.01,27.7644,4.43,0
2596042,18.4513,0.02,6.616,0.211,0.9828,0.05,0.4294,0.01,2.1879,1.07,0
2599936,18.3853,0.01,3.581,0.083,0.8393,0.04,0.8792,0.02,-32.3707,5.89,0
2603883,18.1835,0.01,4.566,0.083,0.8088,0.03,0.6029,0.01,-24.7102,1.26,0
2618225,17.4506,0.01,5.487,0.09,1.1489,0.03,0.798,0.01,-50.6191,2.05,0
2631022,18.6165,0.01,1.658,0.03,0.9936,0.11,0.5458,0.02,-31.3353,1.56,0
2631558,18.787,0.02,2.358,0.053,1.2112,0.1,0.6743,0.02,-71.0531,2.62,0
2632003,18.9984,0.04,2.508,0.158,2.1951,0.28,0.8205,0.04,-24.0337,8.1,0
2632460,18.6049,0.02,2.322,0.083,2.1721,0.2,0.7188,0.03,76.9372,3.36,0
2635686,18.8951,0.03,2.717,0.113,1.5397,0.14,0.7175,0.03,-13.4635,3.87,0
2637010,18.8662,0.03,2.536,0.106,1.6019,0.15,0.9239,0.03,-21.5393,16.24,0
2638164,18.9535,0.02,2.022,0.06,1.4822,0.17,0.861,0.03,-72.7934,8.73,0
2641811,19.0987,0.03,1.624,0.075,1.9802,0.3,0.8071,0.04,55.8451,7.71,0
2642937,18.8006,0.03,4.558,0.211,1.3875,0.1,0.4822,0.02,89.991,1.65,0
2645762,19.0788,0.03,3.51,0.181,1.3214,0.12,0.6043,0.03,-71.5247,2.91,0
2648882,18.7072,0.02,2.9,0.068,1.148,0.08,0.4975,0.02,4.1322,1.37,0
2653575,19.1567,0.04,2.832,0.166,1.5532,0.18,0.8081,0.04,32.6761,7.75,0
