GalaxyID,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate
16150066,6.8231258E10,1.48872331E11,5.684438E12,3.37632288E8,2.40365824E8,9.549137,0.82166874
16157604,9.5834931E10,2.77732262E11,3.92442832E12,1.82804272E8,5.3524804E7,7.3470893,2.6446383
16161069,2.89580913E10,2.37917312E9,2.36559135E10,2.6075752E7,1.841736E7,5.47884,1.214222
16161680,7.7010674E10,3.52959922E11,4.38633968E12,1.03968352E8,4.039474E7,6.378543,5.0134153
16164661,3.08850831E10,3.79821696E9,5.3855982E10,1.834445E7,8641545.0,5.61472,2.416853
16166272,1.1860608E10,1.25788224E9,3.19839539E10,2.3286798E7,2.0777642E7,6.546983,0.7139674
16167926,1.54197064E10,1.44181477E11,1.8187324E12,1.6396997E7,1903436.0,5.8542123,1.8134099
16169303,5.3224849E10,2.80415109E11,3.99672449E12,2.37251216E8,9.7789328E7,7.766785,4.658871
16173790,5.8753384E10,3.19605998E11,4.26201999E12,8.7455384E7,4.109132E7,7.3322096,2.9957185
16176357,2.95262536E10,1.69512998E9,1.04638636E11,4.9847448E7,4.3086684E7,6.227986,0.39713943
16179868,1.04414765E11,2.61340807E11,4.4396718E12,2.36070384E8,1.11336056E8,7.130243,0.2195201
16185809,2.86644818E10,1.78514067E11,4.33400578E12,1.88571248E8,1.10485728E8,9.122998,0.41886485
16190253,1.83421952E10,5.0409518E9,6.4346022E10,2.0047076E7,5834902.5,6.052295,2.059384
16191775,3.7872157E10,2.5914037E11,3.05962104E12,8.2502736E7,7097639.0,6.1658115,3.8141797
16193648,2.34998579E10,1.17900943E10,1.55915731E11,9079469.0,1070360.5,5.1667347,3.8389516
16195198,3.6642116E10,3.14587546E11,4.14799626E12,2.24206432E8,1.0198828E8,7.9683313,2.1748102
16199414,5.0302415E10,2.42853675E11,4.5643695E12,2.32853984E8,1.1403084E8,8.829035,0.26268893
16204628,6.8451213E10,2.08527E11,4.5690331E12,5.9103994E8,1.94738624E8,9.145752,0.29489824
16210121,8.5194121E10,3.50313185E11,3.77416502E12,1.51604544E8,7.0870024E7,6.5059333,3.801215
16214875,9.5639683E10,1.61359004E11,4.6748837E12,3.07293408E8,2.05489936E8,8.830632,0.017256616
16221452,1.01140464E11,1.00398055E11,4.6991498E12,2.10807376E8,1.35130256E8,8.299118,0.030506073
16227462,5.576219E10,8.9116983E10,1.59479628E12,3.6849212E7,6070427.5,6.4889045,3.6854043
16229686,3.6654891E10,7.8477869E10,2.32780962E12,1.60687888E8,5.7560684E7,8.240448,0.07231752
16231498,2.95200584E10,3.9448856E7,2.36142248E11,1.35171968E9,8.193556E7,8.255736,0.0
16233064,6.0764688E10,1.33995028E11,3.44971071E12,1.00814624E8,5.8789932E7,7.418121,0.033647627
16237006,1.93623183E10,2.03038409E11,1.71419081E12,4.7466848E7,1.0588212E7,4.873082,3.4362578
16238798,8.8562803E10,3.51972458E11,3.92280985E12,1.50027568E8,6.9749576E7,7.1511436,3.098122
16244165,2.84998103E10,1.48306297E11,1.79794634E12,5.6372608E7,1.1210592E7,5.7483273,2.7138045
16246725,4.3978867E10,6.6752123E9,1.8505614E12,8.6176552E7,5.0864248E7,7.978981,0.0
16249623,6.0117111E10,2.02765615E11,2.89151857E12,8.7188216E7,3.8402968E7,6.0388727,2.4431922
16253922,5.0300846E10,2.2875385E11,2.93333316E12,8.2355792E7,3.8912448E7,5.3826694,2.6413171
16257031,8.1797734E10,2.08670867E11,4.26414309E12,2.24342192E8,1.24949624E8,8.030965,1.6072844
16262528,6.3700181E10,1.50446703E11,4.28697479E12,3.43705056E8,2.15863456E8,9.1205,0.09090915
16268672,6.049552E10,8.0528605E10,3.3395266E12,1.68166064E8,1.13401944E8,9.171716,0.030840537
16272995,4.7883989E10,5.1658998E10,1.24751983E12,4.1477912E7,1.4308469E7,6.583234,3.1735015
16275866,8.8315068E10,2.38044561E11,3.96244287E12,2.13605888E8,1.09403304E8,7.3185344,0.18801142
